Mentor Name,Phone Number,Email ID,Students Assigned
Mentor A - Bhatt,6043321819,mentor.bhatta@example.com,14
Mentor A - Chauhan,9001338908,mentor.chauhana@example.com,7
Mentor A - Desai,7863794026,mentor.desaia@example.com,11
Mentor A - Gupta,8423511615,mentor.guptaa@example.com,10
Mentor A - Iyer,8940781618,mentor.iyera@example.com,10
Mentor A - Joshi,8959310341,mentor.joshia@example.com,17
Mentor A - Kapoor,7164752553,mentor.kapoora@example.com,21
Mentor A - Kulkarni,8192832764,mentor.kulkarnia@example.com,16
Mentor A - Malhotra,7503056413,mentor.malhotraa@example.com,11
Mentor A - Mehta,8376724238,mentor.mehtaa@example.com,12
Mentor A - Nair,8969653287,mentor.naira@example.com,12
Mentor A - Pandey,6012269166,mentor.pandeya@example.com,8
Mentor A - Patel,9848018451,mentor.patela@example.com,12
Mentor A - Rao,8627048281,mentor.raoa@example.com,10
Mentor A - Reddy,8893252880,mentor.reddya@example.com,13
Mentor A - Shah,8701543039,mentor.shaha@example.com,10
Mentor A - Sharma,6171822782,mentor.sharmaa@example.com,12
Mentor A - Singh,8896383465,mentor.singha@example.com,10
Mentor A - Trivedi,9871331509,mentor.trivedia@example.com,15
Mentor A - Verma,7930103105,mentor.vermaa@example.com,12
Mentor B - Bhatt,6834738299,mentor.bhattb@example.com,9
Mentor B - Chauhan,9376311656,mentor.chauhanb@example.com,8
Mentor B - Desai,9701065133,mentor.desaib@example.com,14
Mentor B - Gupta,7872624731,mentor.guptab@example.com,11
Mentor B - Iyer,9810801326,mentor.iyerb@example.com,15
Mentor B - Joshi,9736026064,mentor.joshib@example.com,17
Mentor B - Kapoor,9468723430,mentor.kapoorb@example.com,7
Mentor B - Kulkarni,6500978820,mentor.kulkarnib@example.com,11
Mentor B - Malhotra,6219136193,mentor.malhotrab@example.com,11
Mentor B - Mehta,6916998543,mentor.mehtab@example.com,14
Mentor B - Nair,8346247510,mentor.nairb@example.com,13
Mentor B - Pandey,9991183842,mentor.pandeyb@example.com,17
Mentor B - Patel,8135427849,mentor.patelb@example.com,20
Mentor B - Rao,6841241182,mentor.raob@example.com,8
Mentor B - Reddy,8493534874,mentor.reddyb@example.com,13
Mentor B - Shah,6164005242,mentor.shahb@example.com,5
Mentor B - Sharma,9868011280,mentor.sharmab@example.com,14
Mentor B - Singh,8982620450,mentor.singhb@example.com,9
Mentor B - Trivedi,8331586923,mentor.trivedib@example.com,11
Mentor B - Verma,7260256342,mentor.vermab@example.com,15
Mentor C - Bhatt,6607337543,mentor.bhattc@example.com,11
Mentor C - Chauhan,7036541458,mentor.chauhanc@example.com,17
Mentor C - Desai,9850142940,mentor.desaic@example.com,14
Mentor C - Gupta,6965569816,mentor.guptac@example.com,11
Mentor C - Iyer,7406088356,mentor.iyerc@example.com,18
Mentor C - Joshi,6595148465,mentor.joshic@example.com,7
Mentor C - Kapoor,9482366299,mentor.kapoorc@example.com,11
Mentor C - Kulkarni,8680443699,mentor.kulkarnic@example.com,10
Mentor C - Malhotra,8777387214,mentor.malhotrac@example.com,18
Mentor C - Mehta,8134332003,mentor.mehtac@example.com,14
Mentor C - Nair,9917693676,mentor.nairc@example.com,12
Mentor C - Pandey,7201632870,mentor.pandeyc@example.com,13
Mentor C - Patel,7172788957,mentor.patelc@example.com,11
Mentor C - Rao,9872774348,mentor.raoc@example.com,10
Mentor C - Reddy,9347143455,mentor.reddyc@example.com,14
Mentor C - Shah,6223623166,mentor.shahc@example.com,9
Mentor C - Sharma,8876036690,mentor.sharmac@example.com,15
Mentor C - Singh,9705466889,mentor.singhc@example.com,17
Mentor C - Trivedi,7734670656,mentor.trivedic@example.com,14
Mentor C - Verma,7729806990,mentor.vermac@example.com,11
Mentor D - Bhatt,6627204653,mentor.bhattd@example.com,11
Mentor D - Chauhan,9556464170,mentor.chauhand@example.com,6
Mentor D - Desai,6531003309,mentor.desaid@example.com,12
Mentor D - Gupta,7327193745,mentor.guptad@example.com,16
Mentor D - Iyer,7991241904,mentor.iyerd@example.com,10
Mentor D - Joshi,9631931491,mentor.joshid@example.com,17
Mentor D - Kapoor,6586518506,mentor.kapoord@example.com,21
Mentor D - Kulkarni,9165726284,mentor.kulkarnid@example.com,14
Mentor D - Malhotra,9769453147,mentor.malhotrad@example.com,15
Mentor D - Mehta,7799650752,mentor.mehtad@example.com,14
Mentor D - Nair,9354549480,mentor.naird@example.com,21
Mentor D - Pandey,7136783777,mentor.pandeyd@example.com,7
Mentor D - Patel,6143634957,mentor.pateld@example.com,16
Mentor D - Rao,8685574443,mentor.raod@example.com,7
Mentor D - Reddy,6351823374,mentor.reddyd@example.com,15
Mentor D - Shah,8134352408,mentor.shahd@example.com,15
Mentor D - Sharma,7400842710,mentor.sharmad@example.com,10
Mentor D - Singh,8777520471,mentor.singhd@example.com,14
Mentor D - Trivedi,6671902294,mentor.trivedid@example.com,11
Mentor D - Verma,6318699938,mentor.vermad@example.com,11
Mentor E - Bhatt,9774964990,mentor.bhatte@example.com,12
Mentor E - Chauhan,6334123281,mentor.chauhane@example.com,8
Mentor E - Desai,7067974034,mentor.desaie@example.com,9
Mentor E - Gupta,8713493618,mentor.guptae@example.com,10
Mentor E - Iyer,7242102499,mentor.iyere@example.com,17
Mentor E - Joshi,8717464887,mentor.joshie@example.com,6
Mentor E - Kapoor,9190659401,mentor.kapoore@example.com,12
Mentor E - Kulkarni,7990490278,mentor.kulkarnie@example.com,7
Mentor E - Malhotra,9429671756,mentor.malhotrae@example.com,16
Mentor E - Mehta,8512567468,mentor.mehtae@example.com,17
Mentor E - Nair,6715451680,mentor.naire@example.com,16
Mentor E - Pandey,9603859770,mentor.pandeye@example.com,9
Mentor E - Patel,7482477109,mentor.patele@example.com,14
